No 	Time 	Equivalent Duration 	Energy 	Note
  	[BJD-2,457,000] 	(s) 	(erg) 	 
1 	1600.3730 	3.6778 	3.647e+30 	 
2 	1602.1231 	11.2875 1.119e+31 	 
3 	1602.2106 	3.8165 	3.784e+30 	 
4 	1602.5675 	1.2674 	1.257e+30 	 
5 	1602.8495 	1.5051 	1.492e+30 	 
6 	1603.2675 	20.4766 2.030e+31 
7 	1603.5759 	3.3961 	3.367e+30 	 
8 	1603.7037 	2.3921 	2.372e+30 	 
9 	1603.7926 	1.0143 	1.006e+30 	 
10 	1604.9051 	3.3981 	3.369e+30 	 
11 	1605.0009 	0.8642 	8.569e+29 	 
12 	1605.2648 	3.7919 	3.760e+30 
13 	1605.6815 	1.8447 	1.829e+30 	 
14 	1605.9482 	29.4649 2.921e+31 	 
15 	1607.4176 	6.3550 	6.301e+30
16 	1607.7038 	13.1791 1.307e+31 	 
17 	1609.6677 	2.2111 	2.192e+30 	 
18 	1613.7400 	87.8975 8.715e+31 
19 	1615.4594 	2.3739 	2.354e+30 	 
20 	1616.0053 	2.4455 	2.425e+30 	 
21 	1616.0636 	10.7013 1.061e+31 
22 	1616.8789 	4.1078 	4.073e+30 	 
23 	1617.0789 	5.9920 	5.941e+30 	 
24 	1617.1872 	9.2374 	9.159e+30 	 
25 	1617.6178 	2.7855 	2.762e+30 	 
26 	1618.2456 	2.2871 	2.268e+30 	 
27 	1618.2928 	27.9062 2.767e+31 	 
28 	1619.7428 	35.8418 3.554e+31 	 
29 	1622.4053 	9.6765 	9.594e+30 	 
30 	1623.1664 	175.659 1.742e+32 	 
31 	1623.2748 	14.9430 1.482e+31 
32 	1625.3539 	15.4322 1.530e+31 	 
33 	1625.9150 	2.0581 	2.041e+30 	 
34 	1626.8428 	13.0850 1.297e+31 	 
35 	1629.5886 	3.8677 	3.835e+30 	 
36 	1630.8136 	2.6821 	2.659e+30 	 
37 	1630.9220 	4.3070 	4.270e+30 	 
38 	1632.7275 	16.0279 1.589e+31 	 
39 	1633.2622 	22.9272 2.273e+31 	 
40 	1633.9580 	4.1157 	4.081e+30 	 
41 	1636.0441 	4.1674 	4.132e+30 	 
42 	1636.4108 	12.4211 1.232e+31 	 
43 	1637.1274 	4.3895 	4.352e+30 	 
44 	1637.6927 	28.4113 2.817e+31 	 
45 	1640.6927 	2.1842 	2.166e+30 	 
46 	1640.8704 	1.5341 	1.521e+30 	 
47 	1641.2218 	23.0312 2.284e+31 	 
48 	1641.9954 	1.0087 	1.000e+30 	 
49 	1642.3704 	6.7074 	6.650e+30 	 
50 	1643.1204 	1.3478 	1.336e+30 	 
51 	1643.1884 	2.7649 	2.741e+30 	 
52 	1643.5037 	5.2047 	5.160e+30 	 
53 	1644.0134 	2.9587 	2.934e+30 	 
54 	1644.0398 	2.9998 	2.974e+30 	 
55 	1644.8842 	4.2421 	4.206e+30 	 
56 	1645.4092 	2.4270 	2.406e+30 	 
57 	1645.5301 	14.5296 1.441e+31 	 
58 	1647.2078 	4.6653 	4.626e+30 	 
59 	1647.3008 	16.5996 1.646e+31 	 
60 	1647.8119 	2.0402 	2.023e+30 	 
61 	1648.1605 	19.4783 1.931e+31 	 
62 	1648.2494 	11.0045 1.091e+31 	 
63 	1649.2619 	3.6956 	3.664e+30 	 
64 	1649.6494 	3.2962 	3.268e+30 	 
65 	1650.4008 	4.4968 	4.459e+30 	 
66 	1650.5563 	1.9609 	1.944e+30 	 
67 	1651.2327 	18.4329 1.828e+31 	 
68 	1651.3702 	1.4980 	1.485e+30 	 
69 	1651.5188 	1.8163 	1.801e+30 	 
70 	1651.6368 	6.4455 	6.391e+30 	 
71 	1652.1938 	21.7023 2.152e+31 	 
72 	1652.8799 	5.3145 	5.269e+30 	 	 
